MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:06:40.049;-0.516;-0.016;0.869;
19.10.2015 10:06:41.049;-0.516;-0.016;0.902;
19.10.2015 10:06:42.049;-0.516;-0.016;0.902;
19.10.2015 10:06:43.049;-0.516;-0.016;0.902;
19.10.2015 10:06:44.049;-0.516;-0.016;0.902;
19.10.2015 10:06:45.049;-0.516;-0.016;0.902;
19.10.2015 10:06:46.049;-0.516;-0.016;0.934;
19.10.2015 10:06:47.049;-0.516;-0.016;0.869;
19.10.2015 10:06:48.049;-0.516;-0.016;0.902;
19.10.2015 10:06:49.049;-0.516;-0.016;0.869;
19.10.2015 10:06:50.049;-0.516;-0.016;0.869;
19.10.2015 10:06:51.049;-0.516;-0.016;0.902;
19.10.2015 10:06:52.049;-0.516;-0.016;0.902;
19.10.2015 10:06:53.049;-0.516;-0.016;0.902;
19.10.2015 10:06:54.049;-0.516;-0.016;0.902;
19.10.2015 10:06:55.049;-0.516;-0.016;0.902;
19.10.2015 10:06:56.049;-0.516;-0.016;0.869;
19.10.2015 10:06:57.049;-0.516;-0.016;0.902;
19.10.2015 10:06:58.049;-0.516;-0.016;0.902;
19.10.2015 10:06:59.049;-0.516;-0.016;0.902;
19.10.2015 10:07:00.049;-0.516;-0.016;0.902;
19.10.2015 10:07:01.049;-0.516;-0.016;0.869;
19.10.2015 10:07:02.049;-0.516;-0.016;0.902;
19.10.2015 10:07:03.049;-0.516;-0.016;0.902;
19.10.2015 10:07:04.049;-0.516;-0.016;0.902;
19.10.2015 10:07:05.049;-0.484;-0.016;0.902;
19.10.2015 10:07:06.049;-0.516;-0.016;0.902;
19.10.2015 10:07:07.049;-0.516;-0.016;0.902;
19.10.2015 10:07:08.049;-0.516;-0.016;0.902;
19.10.2015 10:07:09.049;-0.516;-0.016;0.902;
19.10.2015 10:07:10.049;-0.516;-0.016;0.902;
19.10.2015 10:07:11.049;-0.516;-0.016;0.902;
19.10.2015 10:07:12.049;-0.516;-0.016;0.869;
19.10.2015 10:07:13.049;-0.516;-0.016;0.869;
19.10.2015 10:07:14.049;-0.516;-0.016;0.902;
19.10.2015 10:07:15.049;-0.516;-0.016;0.902;
19.10.2015 10:07:16.049;-0.516;-0.016;0.902;
19.10.2015 10:07:17.049;-0.516;-0.048;0.902;
19.10.2015 10:07:18.049;-0.516;-0.016;0.902;
19.10.2015 10:07:19.049;-0.516;-0.016;0.869;
19.10.2015 10:07:20.049;-0.516;-0.016;0.902;
19.10.2015 10:07:21.049;-0.516;-0.016;0.902;
19.10.2015 10:07:22.049;-0.516;-0.016;0.902;
19.10.2015 10:07:23.049;-0.516;-0.016;0.934;
19.10.2015 10:07:24.049;-0.516;-0.016;0.902;
19.10.2015 10:07:25.049;-0.516;-0.016;0.902;
19.10.2015 10:07:26.049;-0.516;-0.016;0.902;
19.10.2015 10:07:27.049;-0.516;-0.016;0.902;
19.10.2015 10:07:28.049;-0.516;-0.016;0.902;
19.10.2015 10:07:29.049;-0.516;-0.016;0.902;
19.10.2015 10:07:30.049;-0.484;-0.016;0.902;
19.10.2015 10:07:31.049;-0.516;-0.016;0.902;
19.10.2015 10:07:32.049;-0.516;-0.016;0.902;
19.10.2015 10:07:33.049;-0.516;-0.016;0.902;
